Date,Store,Product,Category,Units_Sold,Unit_Price,Revenue,Promotion,Holiday,Temperature,Region
2022-01-01,Store_A,Laptop,Electronics,73,15000,1095000,No,No,28,Western Cape
2022-01-01,Store_A,Phone,Electronics,51,12000,612000,Yes,No,23,Gauteng
2022-01-01,Store_A,TV,Electronics,82,9000,738000,No,No,29,KZN
2022-01-01,Store_A,Tablet,Electronics,93,7000,651000,Yes,No,32,Gauteng
2022-01-01,Store_A,Headphones,Accessories,71,800,56800,No,No,22,Western Cape
2022-01-01,Store_A,Keyboard,Accessories,58,600,34800,No,Yes,35,Gauteng
2022-01-01,Store_B,Laptop,Electronics,45,15000,675000,Yes,No,24,Free State
2022-01-01,Store_B,Phone,Electronics,24,12000,288000,No,No,25,Free State
2022-01-01,Store_B,TV,Electronics,34,9000,306000,Yes,No,35,Gauteng
2022-01-01,Store_B,Tablet,Electronics,59,7000,413000,No,No,33,Western Cape
2022-01-01,Store_B,Headphones,Accessories,83,800,66400,No,No,32,KZN
2022-01-01,Store_B,Keyboard,Accessories,47,600,28200,No,No,30,KZN
2022-01-01,Store_C,Laptop,Electronics,61,15000,915000,Yes,No,29,Free State
2022-01-01,Store_C,Phone,Electronics,79,12000,948000,No,No,18,Western Cape
2022-01-01,Store_C,TV,Electronics,28,9000,252000,No,No,24,KZN
2022-01-01,Store_C,Tablet,Electronics,43,7000,301000,Yes,No,22,Western Cape
2022-01-01,Store_C,Headphones,Accessories,77,800,61600,Yes,No,22,Western Cape
2022-01-01,Store_C,Keyboard,Accessories,17,600,10200,No,No,31,Western Cape
2022-01-01,Store_D,Laptop,Electronics,49,15000,735000,No,No,30,Western Cape
2022-01-01,Store_D,Phone,Electronics,83,12000,996000,No,No,21,Gauteng
2022-01-01,Store_D,TV,Electronics,43,9000,387000,No,No,21,KZN
2022-01-01,Store_D,Tablet,Electronics,67,7000,469000,Yes,No,27,KZN
2022-01-01,Store_D,Headphones,Accessories,105,800,84000,Yes,No,29,Free State
2022-01-01,Store_D,Keyboard,Accessories,71,600,42600,Yes,No,18,KZN
2022-01-02,Store_A,Laptop,Electronics,49,15000,735000,No,No,24,Gauteng
2022-01-02,Store_A,Phone,Electronics,49,12000,588000,No,No,27,Free State
2022-01-02,Store_A,TV,Electronics,60,9000,540000,Yes,No,34,Gauteng
2022-01-02,Store_A,Tablet,Electronics,91,7000,637000,Yes,No,34,KZN
2022-01-02,Store_A,Headphones,Accessories,81,800,64800,Yes,No,22,Free State
2022-01-02,Store_A,Keyboard,Accessories,17,600,10200,No,No,23,Free State
2022-01-02,Store_B,Laptop,Electronics,88,15000,1320000,No,No,23,Free State
2022-01-02,Store_B,Phone,Electronics,86,12000,1032000,No,No,33,Free State
2022-01-02,Store_B,TV,Electronics,78,9000,702000,No,No,21,Western Cape
2022-01-02,Store_B,Tablet,Electronics,83,7000,581000,No,No,26,KZN
2022-01-02,Store_B,Headphones,Accessories,60,800,48000,No,No,35,Western Cape
2022-01-02,Store_B,Keyboard,Accessories,75,600,45000,Yes,No,33,KZN
2022-01-02,Store_C,Laptop,Electronics,97,15000,1455000,Yes,No,22,Free State
2022-01-02,Store_C,Phone,Electronics,31,12000,372000,No,No,20,Free State
2022-01-02,Store_C,TV,Electronics,43,9000,387000,No,No,28,KZN
2022-01-02,Store_C,Tablet,Electronics,55,7000,385000,No,No,33,Gauteng
2022-01-02,Store_C,Headphones,Accessories,51,800,40800,Yes,No,20,Free State
2022-01-02,Store_C,Keyboard,Accessories,96,600,57600,Yes,No,33,Free State
2022-01-02,Store_D,Laptop,Electronics,28,15000,420000,No,No,33,Free State
2022-01-02,Store_D,Phone,Electronics,75,12000,900000,No,No,23,Gauteng
2022-01-02,Store_D,TV,Electronics,70,9000,630000,No,No,18,Free State
2022-01-02,Store_D,Tablet,Electronics,100,7000,700000,Yes,No,21,Western Cape
2022-01-02,Store_D,Headphones,Accessories,99,800,79200,Yes,No,31,KZN
2022-01-02,Store_D,Keyboard,Accessories,22,600,13200,No,No,34,Gauteng
2022-01-03,Store_A,Laptop,Electronics,62,15000,930000,No,No,18,Free State
2022-01-03,Store_A,Phone,Electronics,94,12000,1128000,Yes,No,20,Free State
2022-01-03,Store_A,TV,Electronics,79,9000,711000,Yes,No,19,Western Cape
2022-01-03,Store_A,Tablet,Electronics,55,7000,385000,Yes,No,18,KZN
2022-01-03,Store_A,Headphones,Accessories,52,800,41600,No,No,27,Western Cape
2022-01-03,Store_A,Keyboard,Accessories,35,600,21000,No,No,30,Free State
2022-01-03,Store_B,Laptop,Electronics,16,15000,240000,No,No,18,Free State
2022-01-03,Store_B,Phone,Electronics,37,12000,444000,Yes,No,19,Gauteng
2022-01-03,Store_B,TV,Electronics,77,9000,693000,No,Yes,27,Gauteng
2022-01-03,Store_B,Tablet,Electronics,24,7000,168000,No,No,18,Free State
2022-01-03,Store_B,Headphones,Accessories,83,800,66400,Yes,No,21,Gauteng
2022-01-03,Store_B,Keyboard,Accessories,56,600,33600,No,No,33,KZN
2022-01-03,Store_C,Laptop,Electronics,56,15000,840000,Yes,No,22,Gauteng
2022-01-03,Store_C,Phone,Electronics,71,12000,852000,No,No,18,Gauteng
2022-01-03,Store_C,TV,Electronics,10,9000,90000,No,No,33,KZN
2022-01-03,Store_C,Tablet,Electronics,10,7000,70000,No,No,22,Gauteng
2022-01-03,Store_C,Headphones,Accessories,88,800,70400,Yes,No,31,Free State
2022-01-03,Store_C,Keyboard,Accessories,101,600,60600,Yes,No,22,Free State
2022-01-03,Store_D,Laptop,Electronics,39,15000,585000,Yes,No,18,Gauteng
2022-01-03,Store_D,Phone,Electronics,47,12000,564000,Yes,No,19,Free State
2022-01-03,Store_D,TV,Electronics,19,9000,171000,No,No,18,Free State
2022-01-03,Store_D,Tablet,Electronics,78,7000,546000,No,No,33,Western Cape
2022-01-03,Store_D,Headphones,Accessories,31,800,24800,Yes,No,29,Gauteng
2022-01-03,Store_D,Keyboard,Accessories,44,600,26400,No,No,28,KZN
2022-01-04,Store_A,Laptop,Electronics,21,15000,315000,No,No,27,Western Cape
2022-01-04,Store_A,Phone,Electronics,74,12000,888000,Yes,No,19,KZN
2022-01-04,Store_A,TV,Electronics,44,9000,396000,No,No,27,Gauteng
2022-01-04,Store_A,Tablet,Electronics,59,7000,413000,Yes,No,35,KZN
2022-01-04,Store_A,Headphones,Accessories,56,800,44800,Yes,No,21,Gauteng
2022-01-04,Store_A,Keyboard,Accessories,33,600,19800,No,No,33,Free State
2022-01-04,Store_B,Laptop,Electronics,33,15000,495000,No,No,29,KZN
2022-01-04,Store_B,Phone,Electronics,64,12000,768000,No,No,26,Gauteng
2022-01-04,Store_B,TV,Electronics,26,9000,234000,No,No,30,Western Cape
2022-01-04,Store_B,Tablet,Electronics,56,7000,392000,No,Yes,29,KZN
2022-01-04,Store_B,Headphones,Accessories,37,800,29600,No,No,32,Free State
2022-01-04,Store_B,Keyboard,Accessories,96,600,57600,Yes,No,21,KZN
2022-01-04,Store_C,Laptop,Electronics,32,15000,480000,No,No,27,Gauteng
2022-01-04,Store_C,Phone,Electronics,48,12000,576000,No,No,20,Western Cape
2022-01-04,Store_C,TV,Electronics,27,9000,243000,No,No,29,KZN
2022-01-04,Store_C,Tablet,Electronics,16,7000,112000,No,No,26,Gauteng
2022-01-04,Store_C,Headphones,Accessories,36,800,28800,No,No,22,Gauteng
2022-01-04,Store_C,Keyboard,Accessories,17,600,10200,No,No,34,Western Cape
2022-01-04,Store_D,Laptop,Electronics,54,15000,810000,No,No,29,Gauteng
2022-01-04,Store_D,Phone,Electronics,48,12000,576000,No,No,24,Gauteng
2022-01-04,Store_D,TV,Electronics,87,9000,783000,Yes,No,25,KZN
